Unnamed: 0,xuhao,author,content,zan,zhuanfa,pinglun,public_time
0,1,凤凰网财经,:【#瑞幸咖啡独立董事辞职#审计委员会只剩3名独董,126965,1434,1323,04月24日
1,2,极创客,:【#董明珠谈瑞幸财务造假#：好的企业不是靠股市创造价值】4月29日晚间，针对最近瑞幸咖啡财务造假事件，董明珠表示，“真诚对待一切才是最重要。一个人一生的信誉都没有的时候，这个人还有没有价值？你讲假话无非想通过虚假的信息让股价涨高，从中自己可能在这股价上受益。但我希望一个好的企业是靠产品创造价值，而不是靠股市创造价值。”http://t.cn/A6A4oBod,0,0,0,04月30日
2,3,中工网,:【#董明珠谈瑞幸咖啡财务造假#：#企业是靠产品创造价值而非股市#】4月29日，对瑞幸咖啡财务造假事件，格力电器董事长董明珠表示，“真诚对待一切才是最重要。一个人一生的信誉都没有的时候，这个人还有没有价值？你讲假话无非想通过虚假的信息让股价涨高，自己可能在股价上受益。但我希望一个好的企业是靠产品创造价值，而不是靠股市创造价值。”http://t.cn/A6AbY75o,0,0,0,04月30日
3,4,FM910攀枝花汽车电台,:【#董明珠谈瑞幸咖啡财务造假#：#企业是靠产品创造价值而非股市#】4月29日，对瑞幸咖啡财务造假事件，格力电器董事长董明珠表示，“真诚对待一切才是最重要。一个人一生的信誉都没有的时候，这个人还有没有价值？你讲假话无非想通过虚假的信息让股价涨高，自己可能在股价上受益。但我希望一个好的企业是靠产品创造价值，而不是靠股市创造价值。”@大佬时间http://t.cn/A6AbY75o,0,0,0,04月30日
4,5,攀枝花综合广播,:【#董明珠谈瑞幸咖啡财务造假#：#企业是靠产品创造价值而非股市#】4月29日，对瑞幸咖啡财务造假事件，格力电器董事长董明珠表示，“真诚对待一切才是最重要。一个人一生的信誉都没有的时候，这个人还有没有价值？你讲假话无非想通过虚假的信息让股价涨高，自己可能在股价上受益。但我希望一个好的企业是靠产品创造价值，而不是靠股市创造价值。”@大佬时间http://t.cn/A6AbY75o,0,0,0,04月30日
5,6,948交通广播,:【#董明珠谈瑞幸咖啡财务造假#：#企业是靠产品创造价值而非股市#】4月29日，对瑞幸咖啡财务造假事件，格力电器董事长董明珠表示，“真诚对待一切才是最重要。一个人一生的信誉都没有的时候，这个人还有没有价值？你讲假话无非想通过虚假的信息让股价涨高，自己可能在股价上受益。但我希望一个好的企业是靠产品创造价值，而不是靠股市创造价值。”http://t.cn/A6AbY75o,0,0,0,04月30日
6,7,财联社APP,:【#董明珠谈瑞幸咖啡财务造假#：#企业是靠产品创造价值而非股市#】4月29日，对瑞幸咖啡财务造假事件，格力电器董事长董明珠表示，“真诚对待一切才是最重要。一个人一生的信誉都没有的时候，这个人还有没有价值？你讲假话无非想通过虚假的信息让股价涨高，自己可能在股价上受益。但我希望一个好的企业是靠产品创造价值，而不是靠股市创造价值。”http://t.cn/A6AbY75o,30,8,6,04月30日
7,8,大佬时间,:【#董明珠谈瑞幸咖啡财务造假#：#企业是靠产品创造价值而非股市#】4月29日，对瑞幸咖啡财务造假事件，格力电器董事长董明珠表示，“真诚对待一切才是最重要。一个人一生的信誉都没有的时候，这个人还有没有价值？你讲假话无非想通过虚假的信息让股价涨高，自己可能在股价上受益。但我希望一个好的企业是靠产品创造价值，而不是靠股市创造价值。”http://t.cn/A6AbY75o,8,1,0,04月30日
8,9,揽收胜景,:针对最近瑞幸咖啡财务造假事件，格力电器董事长董明珠表示，“真诚对待一切才是最重要。一个人一生的信誉都没有的时候，这个人还有没有价值？你讲假话无非想通过虚假的信息让股价涨高，从中自己可能在这股价上受益。但我希望一个好的企业是靠产品创造价值，而不是靠股市创造价值。”人无信不立，信誉对于企业更是至关命门，瑞幸咖啡想通过类似于薅美帝资本主义羊毛的幌子来掩饰自己财务，这种行为利在一时，毁了根基！支持董小姐,0,0,0,04月30日
9,10,网红领域,:#美国证券交易委员会调查瑞幸##小贴士#在4月22日上午举行的国新办新闻发布会上，银保监会副主席曹宇也就此表态称：“瑞幸咖啡财务造假事件性质恶劣、教训深刻，银保监会将坚决支持、积极配合主管部门依法严厉惩处。”,0,0,0,04月30日
